Candidate,Date,Endorser,Position,Point value
Joe Biden,2-Jul,Ned Lamont,Governor of Connecticut,8
Joe Biden,28-Jun,Keisha Lance Bottoms,Mayor of Atlanta,3
Joe Biden,30-May,Al Lawson,U.S. representative from Florida,3
Joe Biden,20-May,Tom Daschle,Former U.S. Senate majority leader,5
Joe Biden,14-May,Filemon Vela,U.S. representative from Texas,3
Joe Biden,3-May,A. Donald McEachin,U.S. representative from Virginia,3
Joe Biden,25-Apr,Kathy Jennings,Delaware attorney general,2
Joe Biden,25-Apr,Dwight Evans,U.S. representative from Pennsylvania,3
Joe Biden,25-Apr,Cedric Richmond,U.S. representative from Louisiana,3
Joe Biden,25-Apr,John Carney,Governor of Delaware,8
Joe Biden,25-Apr,Brendan Boyle,U.S. representative from Pennsylvania,3
Joe Biden,25-Apr,Symone Sanders,DNC member from District of Columbia,1
Joe Biden,25-Apr,Cristobal J. Alex,DNC member from District of Columbia,1
Joe Biden,25-Apr,Thomas Suozzi,U.S. representative from New York,3
Joe Biden,25-Apr,Doug Jones,U.S. senator from Alabama,6
Joe Biden,25-Apr,Robert P. Casey Jr.,U.S. senator from Pennsylvania,6
Joe Biden,25-Apr,Lisa Blunt Rochester,U.S. representative from Delaware,3
Joe Biden,24-Apr,Matt Cartwright,U.S. representative from Pennsylvania,3
Joe Biden,22-Apr,Ed Rendell,Former DNC chair,5
Joe Biden,22-Apr,Stephen F. Lynch,U.S. representative from Massachusetts,3
Joe Biden,18-Apr,Michael A. Nutter,DNC member from Pennsylvania,1
Joe Biden,26-Feb,Christopher A. Coons,U.S. senator from Delaware,6
Joe Biden,8-Jan,Thomas R. Carper,U.S. senator from Delaware,6
Joe Biden,3-Jan,Dianne Feinstein,U.S. senator from California,6
Joe Biden,2-Jan,Andrew Cuomo,Governor of New York,8
Kamala Harris,12-Jul,Robert Trammell,Georgia House minority leader,2
Kamala Harris,3-Jul,Jahana Hayes,U.S. representative from Connecticut,3
Kamala Harris,30-Jun,Frederica Wilson,U.S. representative from Florida,3
Kamala Harris,30-Jun,Bobby L. Rush,U.S. representative from Illinois,3
Kamala Harris,25-Jun,"William ""Lacy"" Clay Jr.",U.S. representative from Missouri,3
Kamala Harris,21-Jun,Alcee L. Hastings,U.S. representative from Florida,3
Kamala Harris,20-Jun,Al Green,U.S. representative from Texas,3
Kamala Harris,17-Jun,Jim Costa,U.S. representative from California,3
Kamala Harris,30-May,Anthony Rendon,California House speaker,2
Kamala Harris,7-Mar,Karl Racine,District of Columbia attorney general,2
Kamala Harris,7-Mar,Sam Liccardo,"Mayor of San Jose, California",3
Kamala Harris,7-Mar,Darrell Steinberg,"Mayor of Sacramento, California",3
Kamala Harris,7-Mar,Robert Garcia,"Mayor of Long Beach, California",3
Kamala Harris,28-Feb,Julia Brownley,U.S. representative from California,3
Kamala Harris,26-Feb,Alex Padilla,California secretary of state,2
Kamala Harris,26-Feb,Ricardo Lara,California insurance commissioner,2
Kamala Harris,26-Feb,Tony Thurmond,California superintendent of public instruction,2
Kamala Harris,20-Feb,Emmy Ruiz,DNC member from Texas,1
Kamala Harris,15-Feb,Gavin Newsom,Governor of California,8
Kamala Harris,14-Feb,Barbara Lee,U.S. representative from California,3
Kamala Harris,7-Feb,Toni Atkins,California Senate president pro tem,2
Kamala Harris,6-Feb,Bob Mulholland,DNC member from California,1
Kamala Harris,29-Jan,Katie Hill,U.S. representative from California,3
Kamala Harris,29-Jan,Nanette Diaz Barragán,U.S. representative from California,3
Kamala Harris,28-Jan,Ted Lieu,U.S. representative from California,3
Kamala Harris,27-Jan,London Breed,Mayor of San Francisco,3
Kamala Harris,27-Jan,Libby Schaaf,"Mayor of Oakland, California",3
Kamala Harris,27-Jan,Eleni Kounalakis,California lieutenant governor,2
Kamala Harris,27-Jan,Fiona Ma,California state treasurer,2
Kamala Harris,21-Jan,Laphonza Butler,DNC member from California,1
Cory Booker,12-Apr,John Graham,DNC member from New Jersey,1
Cory Booker,12-Apr,Bernadette P. McPherson,DNC member from New Jersey,1
Cory Booker,21-Feb,John Currie,DNC member from New Jersey,1
Cory Booker,21-Feb,Donald Norcross,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Jeff Van Drew,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Andy Kim,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Josh Gottheimer,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Frank Pallone Jr.,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Tom Malinowski,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Albio Sires,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Bill Pascrell Jr.,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Donald Payne Jr.,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Mikie Sherrill,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Bonnie Watson Coleman,U.S. representative from New Jersey,3
Cory Booker,21-Feb,Craig Coughlin,New Jersey General Assembly speaker,2
Cory Booker,21-Feb,Stephen Sweeney,New Jersey Senate president,2
Cory Booker,21-Feb,Sheila Oliver,New Jersey lieutenant governor,2
Cory Booker,4-Feb,Clay N. Middleton,DNC member from South Carolina,1
Cory Booker,1-Feb,Phil Murphy,Governor of New Jersey,8
Cory Booker,1-Feb,Robert Menendez,U.S. senator from New Jersey,6
Cory Booker,28-Jun,Collin C. Peterson,U.S. representative from Minnesota,3
Amy Klobuchar,3-Mar,Ed Rendell,Former DNC chair,
Amy Klobuchar,10-Feb,Tim Walz,Governor of Minnesota,8
Amy Klobuchar,10-Feb,Tina Smith,U.S. senator from Minnesota,6
Amy Klobuchar,10-Feb,Jacob Frey,Mayor of Minneapolis,3
Amy Klobuchar,10-Feb,Angie Craig,U.S. representative from Minnesota,3
Amy Klobuchar,10-Feb,Dean Phillips,U.S. representative from Minnesota,3
Amy Klobuchar,10-Feb,Melissa Hortman,Minnesota House speaker,2
Amy Klobuchar,10-Feb,Peggy Flanagan,Minnesota lieutenant governor,2
Amy Klobuchar,10-Feb,Julie Blaha,Minnesota state auditor,2
Amy Klobuchar,6-Feb,Walter Mondale,Past vice president,10
Elizabeth Warren,12-May,Catherine Byrne,Nevada state controller,2
Elizabeth Warren,26-Apr,Michael Dukakis,Past presidential nominee,5
Elizabeth Warren,19-Apr,Kate Donaghue,DNC member from Massachusetts,1
Elizabeth Warren,9-Feb,Edward J. Markey,U.S. senator from Massachusetts,6
Elizabeth Warren,9-Feb,Lori Trahan,U.S. representative from Massachusetts,3
Elizabeth Warren,9-Feb,Joseph P. Kennedy III,U.S. representative from Massachusetts,3
Elizabeth Warren,9-Feb,Karen Spilka,Massachusetts Senate president,2
Elizabeth Warren,8-Feb,James McGovern,U.S. representative from Massachusetts,3
Bernie Sanders,28-Jun,Keith Ellison,Minnesota attorney general,2
Bernie Sanders,18-Apr,Michelle Deatrick,DNC member from Michigan,1
Bernie Sanders,25-Mar,Susie A. Shannon,DNC member from California,1
Bernie Sanders,21-Feb,Nina Turner,DNC member from Ohio,1
Bernie Sanders,21-Feb,Ro Khanna,U.S. representative from California,3
Bernie Sanders,20-Feb,Carmen Yulín Cruz,"Mayor of San Juan, Puerto Rico",3
Bernie Sanders,20-Feb,Larry Cohen,DNC member from District of Columbia,1
Bernie Sanders,19-Feb,Patrick J. Leahy,U.S. senator from Vermont,6
Bernie Sanders,19-Feb,Peter Welch,U.S. representative from Vermont,3
Bernie Sanders,19-Feb,David Zuckerman,Vermont lieutenant governor,2
Beto O'Rourke,25-Jun,Salud Carbajal,U.S. representative from California,3
Beto O'Rourke,9-May,Jeff Berman,DNC member from District of Columbia,1
Beto O'Rourke,14-Mar,Joe Moody,Texas House speaker pro tem,2
Beto O'Rourke,14-Mar,Sean Patrick Maloney,U.S. representative from New York,3
Beto O'Rourke,14-Mar,Stephanie Murphy,U.S. representative from Florida,3
Beto O'Rourke,14-Mar,Veronica Escobar,U.S. representative from Texas,3
Beto O'Rourke,14-Mar,Kathleen Rice,U.S. representative from New York,3
Pete Buttigieg,24-Apr,Don Beyer,U.S. representative from Virginia,3
Pete Buttigieg,14-Apr,Nan Whaley,DNC member from Ohio,1
Pete Buttigieg,14-Apr,Steve Adler,"Mayor of Austin, Texas",3
Pete Buttigieg,11-Apr,Steven Grossman,Former DNC chair,5
Julian Castro,11-Mar,Vicente Gonzalez,U.S. representative from Texas,3
Julian Castro,19-Feb,Colin Allred,U.S. representative from Texas,3
Julian Castro,12-Jan,Ron Nirenberg,Mayor of San Antonio,3
Julian Castro,12-Jan,Joaquin Castro,U.S. representative from Texas,3
Jay Inslee,20-Jun,Derek Kilmer,U.S. representative from Washington,3
Jay Inslee,23-May,Kim Schrier,U.S. representative from Washington,3
Jay Inslee,1-Mar,Bob Ferguson,Washington attorney general,2
Jay Inslee,1-Mar,Rick Larsen,U.S. representative from Washington,3
Steve Bullock,26-Jun,Jan M. Bauer,DNC member from Iowa,1
Steve Bullock,9-Jun,Jon Tester,U.S. senator from Montana,6
Steve Bullock,16-May,Tom Miller,Iowa attorney general,2
John Delaney,27-Feb,Juan Vargas,U.S. representative from California,3
John Delaney,28-Jul-17,David Trone,U.S. representative from Maryland,3
Kirsten Gillibrand,17-Mar,Carolyn Maloney,U.S. representative from New York,3
John Hickenlooper,7-Mar,Michael Hancock,Mayor of Denver,3
